"resname"	"en"	"it"
"hello"	"hello"	"ciao"
"chooseLangTitle"	"Welcome to our online lab!"	"Benvenuti nel nostro laboratorio on-line!"
"chooseLangBody"	"Click here to choose English"	"Clicca qui per scegliere italiano"
"chooseTheLang"	"Choose a language"	"Scegli una lingua"
"welcomeTitle"	"A machine is only smart if you teach it well!"	"Una macchina è intelligente solo se la insegni bene!"
"welcomeTitle2"	"The one on the right can already analyze web pages. But still needs your help – let's see how well you can teach it? A few steps to do it:"	"Quello a destra può già analizzare le pagine web. Ma ancora bisogno del tuo aiuto - vediamo quanto bene puoi insegnarlo bene? Solo pochi passi per farlo:"
"welcomeBody"	"[Obsolete] The check will consist of 4 steps:"	"Il controllo sarà composto da 4 fasi:"
"wStep1"	"Read the teaching instructions."	"Presenttii alla macchina."
"wStep2"	"Tell the machine how complex a webpage seems to you."	"Leggi le istruzioni."
"wStep3"	"Tell the machine how difficult-to-read a webpage seems to you."	"Insegna!"
"wDataNote"	"The data you give us may later be used for research purposes (after it is aggregated) and may contribute to the advancement of science. We do not track the personal details that would let anyone identify you, only anonymized demographics information and design preferences."	"I dati che ci fornite potranno successivamente essere utilizzati per scopi di ricerca (dopo che saranno aggregati) e potranno contribuire al progresso della scienza. Non terremo traccia dei dati personali e quindi nessuno potra identificarv. Verranno usate solo le informazion demografiche anonme e le preferenze di design."
"wStep4"	"See the results."	"Guarda i risultati."
"dataUseAgree"	"I understand the conditions of the study and agree to participate in it."	"Comprendo le condizioni dello studio e sono d'accordo a parteciparvi."
"proceed"	"Proceed"	"Procedi"
"saving"	"Saving"	"Salvataggio"
"resubmit"	"An error occured ({textStatus}). Try re-submitting the data. If the error persists, please kindly contact the site administrator"	"Si è verificato un errore ({textStatus}). Provare a inserire nuovamente i dati. Se l'errore persiste, si prega gentilmente di contattare l'amministratore del sito."
"simpleLabel_vc"	"Simple"	"Semplice"
"complexLabel_vc"	"Complex"	"Complesso"
"rateThePage"	"Rate the webpage"	"Vota la pagina web"
"testQuestion_vc"	"How simple/complex was the page?"	"Quanto era semplice/complessa la pagina?"
"instrTitle"	"Teaching Instructions"	"Istruzioni d'insegnamento"
"instrBody"	"A lesson will include 2 x {N} modules. Each module include the following steps"	"Una lezione comprende 20 moduli. Ogni modulo comprende le seguenti operazioni"
"instr1"	"A red dot will appear on the screen for a second. Look at it."	"Un punto rosso apparirà sullo schermo per un secondo. Guardarlo."
"instr2"	"A web page will briefly appear on the screen. Feel relaxed. Don't concentrate too much."	"Una pagina web apparirà brevemente sullo schermo. Rilassati. Non concentrarti troppo."
"instr3"	"You tell the machine how <b>simple/complex</b> or <b>easy/difficult to read</b>  was the page. <br/> NOTE: use either a mouse OR key buttons from 1 to 9."	"Di alla macchina quanto semplice / complessa è stata questa pagina. NOTA: utilizza un mouse o i tasti 1-9."
"instrBody2"	"But first, you practice teaching. Don't worry, the machine isn't looking at you now."	"Ma prima pratica l'insegnamento. Non preoccuparti, la macchina non ti sta guardando adesso."
"preTrainTitle"	"Practice"	"pratica"
"preTrainBody"	"Practice to teach. The Machine isn't looking at it yet.."	"Pratica di insegnare. La macchina non sta ancora guardando .."
"preEvalTitle"	"Real Teaching."	"Insegnamento reale."
"preEvalBody"	"Practice is over. Now the machine is here, ready to be taught."	"La pratica è finita. Ora la macchina è qui, pronta per essere insegnata."
"resTitleFav"	"After Teaching, The Machine believes you'd like these webpages"	"Dopo aver insegnato, La macchina crede che ti piaccino queste pagine web"
"resMost"	"the most"	"il massimo"
"resLeast"	"the least"	"il minimo"
"giveEmail"	"To email yourself these results, type your email address in the textbox below."	"Per inviare a te stesso tramite posta elettronica questi risultati, digita l'indirizzo e-mail nel box seguente."
"completeTitle"	"Finished"	"Finito"
"completeBody"	"The only thing left is leaving us your feedback about the system, if you wish. How fun or dull was the system? What do you think about the existing webpage designs?"	"L'unica cosa che ti chiediamo e' di lasciare e un commento sul sistema: quanto e' stato divertente? Cosa pensi del design delle pagine web?"
"saved"	"Saved. Thanks for the feedback."	"Salvato. Grazie per i feedback"
"_404"	"The page you're looking for doesn't exist."	"Questa pagina non esiste"
"_500"	"A major error happened on the server. Please try to reload the page. If this doesn't work, please kindly contact the server administrator."	"Un errore nel server. Per favore ricarica la pagina. Se l'errore persiste per favore contatta l'amministratore"
"webpage"	"Webpage"	"Pagina web"
"confirmReady"	"I confirm, I'm ready"	"Confermo. Sono pronto!."
"feedbackPlaceholder"	"Type your feedback here... "	"Inserisci il tuo feedback qui ..."
"emailedOk"	"The results are emailed."	"I risultati sono stati inviati via email."
"emailSubject"	"Your preferences for visual complexity in webpage design."	"Le tue preferenze per la complessità visiva nella progettazione della pagina web."
"incorrectEmail"	"The email address is not correct. Please revise it or leave the text field blank."	"L'indirizzo email non è corretto. Si prega di rivedere o lasciare vuoto il campo di testo."
"thanksForFeedback"	"Thank you for the feedback. We value your opinion and will try to learn from it."	"Grazie per il tuo feedback. Apprezziamo la tua opinione e cercheremo di imparare da questo."
